datetime,ticker,av_symbol,sentiment_score,relevance_score,overall_sentiment_score,title,url,time_published,source
2026-02-24 00:24:18,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.186217,0.15,-0.186217,"Cummins (NYSE:CMI) VP Sells $2,497,651.10 in Stock",https://www.marketbeat.com/instant-alerts/cummins-nysecmi-vp-sells-249765110-in-stock-2026-02-23/,20260224T002418,MarketBeat
2026-02-24 00:40:49,HK.03750,"TOPIC:energy_transportation,manufacturing",0.493494,0.15,0.493494,"First Solar expects to create nearly 40,000 jobs, contribute $7.8 billion to U.S. GDP",https://www.1012industryreport.com/energy/renewable-energy/first-solar-expects-to-create-nearly-40000-jobs-contribute-7-8-billion-annually-to-u-s-gdp/,20260224T004049,10/12 Industry Report
2026-02-24 00:52:00,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.631819,0.15,-0.631819,DMC Global (BOOM) Q4 2025 Earnings Call Transcript,https://www.theglobeandmail.com/investing/markets/markets-news/Motley%20Fool/375952/dmc-global-boom-q4-2025-earnings-call-transcript/,20260224T005200,The Globe and Mail
2026-02-24 01:14:39,HK.03750,"TOPIC:energy_transportation,manufacturing",0.245614,0.15,0.245614,Ford Motor (NYSE:F) Stock Price Down 2.7% - Here's Why,https://www.marketbeat.com/instant-alerts/ford-motor-nysef-stock-price-down-27-heres-why-2026-02-23/,20260224T011439,MarketBeat
2026-02-24 02:00:00,HK.03750,"TOPIC:energy_transportation,manufacturing",0.181673,0.15,0.181673,Garrett Motion Announces Participation at the Bank of America Global Automotive Summit,https://ca.finance.yahoo.com/news/garrett-motion-announces-participation-bank-120000929.html,20260224T020000,Yahoo! Finance Canada
2026-02-24 02:52:57,HK.03750,"TOPIC:energy_transportation,manufacturing",0.244923,0.15,0.244923,Allison Transmission Q4 2025 Earnings Call Insights,https://intellectia.ai/news/stock/allison-transmission-q4-2025-earnings-call-insights,20260224T025257,Intellectia AI
2026-02-24 02:53:02,HK.03750,"TOPIC:energy_transportation,manufacturing",0.02958,0.15,0.02958,"FreightCar America, Inc. To Release Fourth Quarter and Full Year 2025 Results On March 9, 2026",https://www.globenewswire.com/news-release/2026/02/23/3243059/0/en/freightcar-america-inc-to-release-fourth-quarter-and-full-year-2025-results-on-march-9-2026.html,20260224T025302,GlobeNewswire
2026-02-24 03:52:10,HK.03750,"TOPIC:energy_transportation,manufacturing",0.252401,0.15,0.252401,Energy Recovery (ERII) Reports Earnings Tomorrow: What To Expect,https://finviz.com/news/319649/energy-recovery-erii-reports-earnings-tomorrow-what-to-expect,20260224T035210,Finviz - Stock Screener
2026-02-24 04:52:40,HK.03750,"TOPIC:energy_transportation,manufacturing",0.275011,0.15,0.275011,"Hyundai E&C, Hyundai Motor Group target distributed energy with EVs",https://www.upi.com/Top_News/World-News/2026/02/24/surplus-electricity-ev-to-power-market/4361771909175/,20260224T045240,upi
2026-02-24 05:16:00,HK.03750,"TOPIC:energy_transportation,manufacturing",0.34917,0.15,0.34917,Nvidia Expands AI Security With Industrial Partners,https://longbridge.com/en/news/276724275,20260224T051600,Longbridge
2026-02-24 05:52:47,HK.03750,"TOPIC:energy_transportation,manufacturing",0.4934,0.15,0.4934,Stoneridge Announces President and Chief Executive Officer Retirement and Leadership Succession Plan,https://sg.finance.yahoo.com/news/stoneridge-announces-president-chief-executive-213000876.html,20260224T055247,Yahoo Finance Singapore
2026-02-24 06:51:25,HK.03750,"TOPIC:energy_transportation,manufacturing",0.446336,0.15,0.446336,First Solar Bets $4.5 Bn on US Manufacturing as Capacity Ramps Up to 18 GW,https://www.saurenergy.com/solar-energy-news/first-solar-bets-45-bn-on-us-manufacturing-as-capacity-ramps-up-to-18-gw-11149639,20260224T065125,Saur Energy
2026-02-24 06:52:32,HK.03750,"TOPIC:energy_transportation,manufacturing",0.462384,0.15,0.462384,Toyota Unveils Plans for Vehicle Recycling Factory in Poland,https://www.supplychainbrain.com/articles/43522-toyota-unveils-plans-for-vehicle-recycling-factory-in-poland,20260224T065232,Supply Chain Brain
2026-02-24 06:53:20,HK.03750,"TOPIC:energy_transportation,manufacturing",0.137233,0.15,0.137233,Tenaris Terminates Second Tranche of its USD 1.2 Billion Share Buyback Program,https://finance.yahoo.com/news/tenaris-terminates-second-tranche-usd-215600050.html,20260224T065320,Yahoo Finance
2026-02-24 07:00:00,HK.03750,"TOPIC:energy_transportation,manufacturing",0.414047,0.15,0.414047,"Shoals Technologies Group, Inc. Reports Financial Results for Fourth Quarter 2025",https://www.globenewswire.com/news-release/2026/2/24/3243369/0/en/shoals-technologies-group-inc-reports-financial-results-for-fourth-quarter-2025.html,20260224T070000,GlobeNewswire
2026-02-24 07:00:00,HK.03750,"TOPIC:energy_transportation,manufacturing",0.319194,0.15,0.319194,"Shoals Technologies Group, Inc. Reports Financial Results for Fourth Quarter 2025",https://www.globenewswire.com/news-release/2026/02/24/3243369/0/en/shoals-technologies-group-inc-reports-financial-results-for-fourth-quarter-2025.html,20260224T070000,GlobeNewswire
2026-02-24 07:00:00,HK.03750,"TOPIC:energy_transportation,manufacturing",0.274542,0.15,0.274542,Garrett Motion Announces Participation at the Bank of America Global Automotive Summit,https://www.globenewswire.com/news-release/2026/02/24/3243361/0/en/Garrett-Motion-Announces-Participation-at-the-Bank-of-America-Global-Automotive-Summit.html,20260224T070000,GlobeNewswire
2026-02-24 07:41:32,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.385842,0.15,-0.385842,"Valero, Contractor Face Expanded Lawsuit After Deadly Refinery Fire in Oklahoma",https://usaherald.com/valero-contractor-face-expanded-lawsuit-after-deadly-refinery-fire-in-oklahoma/,20260224T074132,USA Herald
2026-02-24 07:52:38,HK.03750,"TOPIC:energy_transportation,manufacturing",0.00366,0.15,0.00366,Greater Than Announces Licensing Agreement with World-Leading Automotive Manufacturer Honda to Power their New Crash Risk Map Solution,"https://news.cision.com/greater-than/r/greater-than-announces-licensing-agreement-with-world-leading-automotive-manufacturer-honda-to-power,c4311732",20260224T075238,Cision News
2026-02-24 08:00:00,HK.03750,"TOPIC:energy_transportation,manufacturing",0.448146,0.15,0.448146,"The Tesla Model S, destined for the history books, in a short time upended everything",https://www.autonews.com/tesla/an-tesla-model-s-appreciation-0224/,20260224T080000,Automotive News
2026-02-24 08:11:19,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.440866,0.15,-0.440866,"Ford Motor Company is recalling 24,690 U.S. vehicles - Nhtsa",https://www.marketscreener.com/news/ford-motor-company-is-recalling-24-690-u-s-vehicles-nhtsa-ce7e5dd3d08df323,20260224T081119,marketscreener.com
2026-02-24 08:21:00,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.411469,0.15,-0.411469,"Ford to recall about 413,000 US vehicles over rear suspension toe links fractures, NHTSA says",https://www.reuters.com/business/autos-transportation/ford-recall-about-413000-us-vehicles-over-rear-suspension-toe-links-fractures-2026-02-24/,20260224T082100,Reuters
2026-02-24 08:23:55,HK.03750,"TOPIC:energy_transportation,manufacturing",0.400231,0.15,0.400231,ElevenEs held 1st Closing of its Series B Investment Round Backed by Caterpillar Venture Capital Inc.,https://finance.yahoo.com/news/elevenes-held-1st-closing-series-082400576.html,20260224T082355,Yahoo Finance
2026-02-24 08:49:54,HK.03750,"TOPIC:energy_transportation,manufacturing",0.432978,0.15,0.432978,ElevenEs held 1st Closing of its Series B Investment Round Backed by Caterpillar Venture Capital Inc.,https://www.businesswire.com/news/home/20260224426651/en/ElevenEs-held-1st-Closing-of-its-Series-B-Investment-Round-Backed-by-Caterpillar-Venture-Capital-Inc.,20260224T084954,Business Wire
2026-02-24 08:50:58,HK.03750,"TOPIC:energy_transportation,manufacturing",0.735528,0.15,0.735528,(02/24/26) Top Picks 2026: ON Semiconductor Corp. (ON),https://www.moneyshow.com/articles/tptp2026-64765/top-picks-2026-on-semiconductor-corp-on/,20260224T085058,www.moneyshow.com
2026-02-24 08:52:32,HK.03750,"TOPIC:energy_transportation,manufacturing",0.19654,0.15,0.19654,Toyota Partners With Treehouse to Manage Home Charger Installation for US EV Buyers,https://eletric-vehicles.com/toyota/toyota-partners-with-treehouse-to-manage-home-charger-installation-for-us-ev-buyers/,20260224T085232,Electric Vehicles
2026-02-24 09:16:29,HK.03750,"TOPIC:energy_transportation,manufacturing",0.008452,0.15,0.008452,Honeywell Secures Improved Terms for Strategic Acquisition,https://primaryignition.com/2026/02/24/honeywell-secures-improved-terms-for-strategic-acquisition/,20260224T091629,Primary Ignition
2026-02-24 09:23:16,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.424453,0.15,-0.424453,Ford Issues Major Recall for Over 400K SUVs Due to Steering Safety Concerns,https://www.finedayradio.com/news/tv-delmarva-channel-33/ford-issues-major-recall-for-over-400k-suvs-due-to-steering-safety-concerns/,20260224T092316,Fine Day 102.3
2026-02-24 09:43:00,HK.03750,"TOPIC:energy_transportation,manufacturing",0.461261,0.15,0.461261,The Boeing Company’s (BA) 777-9 Flight Training Simulators Receives Qualification Certification,https://www.insidermonkey.com/blog/the-boeing-companys-ba-777-9-flight-training-simulators-receives-qualification-certification-1702028/,20260224T094300,Insider Monkey
2026-02-24 09:43:00,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.058032,0.15,-0.058032,Howmet Aerospace Inc. (HWM) Releases fiscal Q4 2025 Earnings,https://finviz.com/news/320284/howmet-aerospace-inc-hwm-releases-fiscal-q4-2025-earnings,20260224T094300,Finviz - Stock Screener
2026-02-24 09:50:12,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.405119,0.15,-0.405119,Ford to recall ~413K SUVs over potential loss of steering control (F:NYSE),https://seekingalpha.com/news/4555631-ford-to-recall-413k-suvs-over-potential-loss-of-steering-control,20260224T095012,Seeking Alpha
2026-02-24 09:50:13,HK.03750,"TOPIC:energy_transportation,manufacturing",0.631922,0.15,0.631922,"First Solar Study Shows $5.8B U.S. Economic Impact In 2025, Projects 39,320 Jobs And $4B Labor Income By 2027 Across Six American Manufacturing Facilities",https://solarquarter.com/2026/02/24/first-solar-study-shows-5-8b-u-s-economic-impact-in-2025-projects-39320-jobs-and-4b-labor-income-by-2027-across-six-american-manufacturing-facilities/,20260224T095013,SolarQuarter
2026-02-24 09:50:49,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.068412,0.15,-0.068412,PACCAR Inc. $PCAR Position Reduced by Citigroup Inc.,https://www.marketbeat.com/instant-alerts/filing-paccar-inc-pcar-position-reduced-by-citigroup-inc-2026-02-24/,20260224T095049,MarketBeat
2026-02-24 09:51:23,HK.03750,"TOPIC:energy_transportation,manufacturing",-0.225567,0.15,-0.225567,Manufacturer files challenge against NFTA over LaSalle Station plans,https://www.bizjournals.com/buffalo/news/2026/02/24/materion-lawsuit-against-nfta-lasalle-station.html,20260224T095123,The Business Journals
2026-02-24 09:52:13,HK.03750,"TOPIC:energy_transportation,manufacturing",0.458159,0.15,0.458159,"Oppenheimer Raises Price Target on Allison Transmission Holdings to $135 From $115, Keeps Outperform Rating",https://www.marketscreener.com/news/oppenheimer-raises-price-target-on-allison-transmission-holdings-to-135-from-115-keeps-outperform-ce7e5cdada8dff22,20260224T095213,marketscreener.com
2026-02-24 09:53:04,HK.03750,"TOPIC:energy_transportation,manufacturing",0.026647,0.15,0.026647,"Automotive Interiors Market Set for Steady Growth to USD 207.4 Billion by 2031, Led by Asia Pacific's 38.5% Market Share | Key Players - Adient PLC, Grupo Antolin, Panasonic Corp.",https://www.openpr.com/news/4402474/automotive-interiors-market-set-for-steady-growth-to-usd-207-4,20260224T095304,openPR.com
2026-02-24 10:51:27,HK.03750,"TOPIC:energy_transportation,manufacturing",0.424482,0.15,0.424482,Exclusive PSSB battery deal expands J-Star (Nasdaq: YMAT) reach,https://www.stocktitan.net/sec-filings/YMAT/6-k-j-star-holding-co-ltd-current-report-foreign-issuer-e607bb5beb2d.html,20260224T105127,Stock Titan
2026-02-24 10:52:07,HK.03750,"TOPIC:energy_transportation,manufacturing",0.001019,0.15,0.001019,"Embraer-Empresa Brasileira de Aeronautica (NYSE:EMBJ) Given Consensus Rating of ""Moderate Buy"" by Brokerages",https://www.marketbeat.com/instant-alerts/embraer-empresa-brasileira-de-aeronautica-nyseembj-given-consensus-rating-of-moderate-buy-by-brokerages-2026-02-24/,20260224T105207,MarketBeat
