time,open,high,low,close,Volume
1722259800,822.72,823.77,818.12,820.32,5202
1722260400,820.48,820.48,817.4,817.83,6093
1722261000,818.31,819.23,816.56,818.77,5847
1722261600,818.53,820.18,818.39,819.11,2538
1722262200,819.275,820.3,818.9,820.25,4141
1722262800,819.74,820.4,818.27,818.31,1717
1722263400,819,819.1,817.45,818.56,1381
1722264000,818.57,819.03,817.65,817.79,1278
1722264600,817.38,818.03,816.69,816.69,2013
1722265200,816.71,816.81,815.64,815.67,1218
1722265800,816.01,816.32,815.23,815.23,2506
1722266400,815.68,816.64,815.58,816.4,3058
1722267000,816.2,816.335,814.12,814.6,2416
1722267600,814.6,817,814.6,817,1188
1722268200,817.5,820,817.07,819.32,2420
1722268800,819.63,821.51,819.49,820.92,2099
1722269400,820.8,823,820.64,822.98,1387
1722270000,822.91,822.97,821.05,821.3,1442
1722270600,821.02,822.5,820.95,822.5,1926
1722271200,822.6,823,821.64,821.9,1365
1722271800,821.66,822.42,821.07,821.53,1682
1722272400,821.9,822.29,820.88,821.24,1105
1722273000,821.015,822.23,821.015,821.27,1686
1722273600,821.33,821.53,820.16,820.16,381
1722274200,820.09,820.09,818.82,819.42,1590
1722274800,819.61,819.84,818.32,818.41,899
1722275400,818.38,818.38,816.99,817,2414
1722276000,816.94,816.94,815.45,815.83,1158
1722276600,815.86,815.97,815.17,815.39,2009
1722277200,815.55,816.54,815.33,815.33,3178
1722277800,815.29,815.46,814.15,814.15,5529
1722278400,814.4,815.7,814.16,814.99,1423
1722279000,814.76,815.61,814.58,815.42,3931
1722279600,815,816.61,814.92,816.28,1028
1722280200,816.7,816.81,815.8,815.8,597
1722280800,815.87,817.08,815.45,816.9,2604
1722281400,817.07,817.54,816.45,816.96,1941
1722282000,817.325,818,816.8,817.26,2697
1722282600,817.4,817.87,815.64,816.19,15202
1722346200,817.9,820,816.2,816.2,3173
1722346800,816.57,818.5,815.26,818.5,1434
1722347400,818.35,819.88,817.2,817.57,3315
1722348000,817.3,819.44,817,818.83,3419
1722348600,818.66,820.4,818.29,819.9,2264
1722349200,820.16,820.96,818.92,820.12,4231
1722349800,819.54,822,819.53,820.93,2589
1722350400,820.84,820.84,819.07,819.96,1594
1722351000,819.7,820.54,819,819.79,3427
1722351600,819.98,820.27,815.7,816,1810
1722352200,816.29,816.67,814.09,815.05,3099
1722352800,814.97,815.38,814.2,814.75,2484
1722353400,814.41,815.75,814.41,815.12,3097
1722354000,815.54,815.54,813.61,814.02,3670
1722354600,814.02,814.29,813,813.61,4012
1722355200,814.13,814.21,811.8,812.27,3094
1722355800,812,813.3,811.64,813.3,1705
1722356400,813.23,814.07,812.6,813.82,802
1722357000,814.07,814.51,813.45,814.51,1245
1722357600,813.96,814.53,813.66,814.39,1332
1722358200,814.3,814.5,810.99,811.16,2008
1722358800,810.57,810.62,809.22,810.44,2283
1722359400,810.2,811,809.71,811,1667
1722360000,811.07,811.13,809.9,810.28,1789
1722360600,810.44,811.13,810.2,811.13,1293
1722361200,810.88,810.94,809.65,810.25,1772
1722361800,810.38,810.6,808.41,808.55,2544
1722362400,808.83,809.21,804.07,806.34,4782
1722363000,806.08,807.1,805.61,806.92,3011
1722363600,806.87,808.09,806.87,808.09,1310
1722364200,808.05,808.12,806.66,806.67,1957
1722364800,806.55,806.97,805.39,805.525,2590
1722365400,805.85,806.14,804.79,805.38,4620
1722366000,804.83,804.83,803.33,803.84,2797
1722366600,803.67,804.62,803.53,804,4025
1722367200,804.34,806.12,804.29,805.21,2459
1722367800,805.22,806.39,805.03,806,4322
1722368400,806.31,811.72,806.2,811.72,6972
1722369000,811.28,811.97,809.45,809.76,18606
1722432600,821.5,822.15,811.83,815.44,5215
1722433200,815.32,817.43,814.72,815.27,5189
1722433800,815.41,815.64,813,813.18,3787
1722434400,813.6,816.42,813.02,816.4,2899
1722435000,816.31,816.5,814.25,814.98,3160
1722435600,815,818.19,814.56,817.67,2570
1722436200,817.91,820.37,817.51,819.9,4789
1722436800,819.5,819.7,818.18,819.32,1978
1722437400,819.26,820.8,818.6,820.8,3070
1722438000,820.29,823.25,819.98,822.46,5773
1722438600,822.37,824.24,821.97,823.58,6239
1722439200,823.38,824.81,822.57,824.81,3535
1722439800,824.55,825.69,823.38,824.14,4890
1722440400,824.05,824.4,823.05,823.83,2018
1722441000,823.83,825.06,823.05,824.26,2946
1722441600,824.48,824.53,823.37,823.73,1903
1722442200,823.5,824.41,822.6,822.77,2406
1722442800,822.8,824.6,822.8,824.6,3578
1722443400,824.11,824.11,821.93,821.93,1119
1722444000,821.77,821.96,821.21,821.29,994
1722444600,821.24,821.56,820.57,820.72,2171
1722445200,820.8,821.27,820.31,820.66,2504
1722445800,820.92,821.09,819.39,819.57,1734
1722446400,819.57,821.07,818.38,819.17,4343
1722447000,819.03,819.03,815.75,816.34,1484
1722447600,816.31,818.12,814.99,818.12,2268
1722448200,818.12,819.53,818.12,819.47,1179
1722448800,819.88,820.5,818,818.88,1809
1722449400,819.18,820.37,818.86,819.63,685
1722450000,819.455,819.88,818.45,819.62,1559
1722450600,819.61,820.56,818.36,819.82,3115
1722451200,819.63,820.72,819.23,820.72,1156
1722451800,820.72,822.14,819.69,821.49,3794
1722452400,821.9,822.01,820.45,820.91,4693
1722453000,820.82,821,818.33,819.35,11234
1722453600,819.5,820.66,817.51,818.23,8883
1722454200,818.23,821.41,817.78,821.29,11115
1722454800,821.18,823.49,821.02,821.43,15604
1722455400,820.9,823.11,818.95,821.77,29168
1722519000,819.405,822.84,815.29,815.95,4417
1722519600,815.94,819.96,815.94,819.2,6801
1722520200,819.21,824.21,819.21,823.47,4165
1722520800,823.15,824.17,821.28,822.51,6144
1722521400,822.97,823.09,819.16,820.01,2104
1722522000,820.19,820.96,817.79,817.96,5569
1722522600,817.72,819.45,816.37,816.89,6246
1722523200,817.09,818.04,816.16,816.5,1868
1722523800,817,818.41,816.35,816.35,758
1722524400,816.67,816.67,813.6,814.3,4525
1722525000,814.18,814.7,812.22,812.26,3275
1722525600,812.51,815.72,812.29,814.14,2142
1722526200,814,814.74,812.33,812.51,2444
1722526800,812.51,813.22,810.95,812.13,4662
1722527400,812.5,812.5,810.25,810.77,5547
1722528000,810.75,813.82,809.69,812.38,4141
1722528600,812.48,813.75,812,812.35,1440
1722529200,812.78,812.78,809.87,812.17,4346
1722529800,812.04,812.04,810.32,810.32,731
1722530400,810.5,812.72,809.69,812.72,975
1722531000,812.455,813.15,811.82,812.28,894
1722531600,811.67,812.79,810.25,810.51,3484
1722532200,810.83,812.58,810.81,811.79,1635
1722532800,811.77,814.5,811.56,814.5,652
1722533400,813.87,814.24,812.6,813.24,936
1722534000,812.95,813.93,812.5,812.79,952
1722534600,812.71,813,811.7,813,1134
1722535200,813.24,813.46,811.69,812.81,687
1722535800,812.74,813.7,812.59,813.1,3331
1722536400,813.65,813.79,812.41,812.96,1932
1722537000,812.95,813.02,811.68,812.88,2561
1722537600,813.01,813.6,812,812.2,2186
1722538200,812.7,814.84,812.25,813.99,3108
1722538800,814.58,815,813.73,814.035,1681
1722539400,814.34,815.14,813.57,814.04,3276
1722540000,814.4,815.01,813.47,814.72,4185
1722540600,814.8,816.68,814.36,816.13,4776
1722541200,816.4,817,814.61,817,6981
1722541800,817.1,817.68,814.89,816.65,17360
1722605400,813.49,819.16,813.04,818.67,12772
1722606000,819,826.03,817.5,825.29,12037
1722606600,825.07,830.21,824.65,828.88,17354
1722607200,828.88,829.89,816.43,818.38,14235
1722607800,818.27,819,813,813.48,9163
1722608400,813.05,815.58,813.05,814.37,6394
1722609000,814.3,814.95,812,812,6984
1722609600,811.77,814,811,813.4,8494
1722610200,813.82,814.57,806.9,807.1,12502
1722610800,807.275,807.36,805.25,806.65,6773
1722611400,806.5,809.64,806.39,808.83,2891
1722612000,808.55,811.01,808.34,808.83,3269
1722612600,808.85,810.28,806.17,809.73,5203
1722613200,809.61,812.74,809.43,812.74,2760
1722613800,812.6,814.33,811.63,813.3,2458
1722614400,813.77,815.16,813.3,815.16,2823
1722615000,814.995,815.28,813.17,814.725,1710
1722615600,815.19,818.21,815.19,817.21,3538
1722616200,817.03,819.23,817.03,818.76,3249
1722616800,818.38,820.76,818.22,819.63,3080
1722617400,819.7,819.7,817.08,817.34,1497
