time,open,high,low,close,Volume
1722259800,66.83,67,66.52,66.68,100793
1722260400,66.66,66.69,66.5,66.57,51190
1722261000,66.57,66.71,66.54,66.7,52907
1722261600,66.7,66.86,66.59,66.79,48834
1722262200,66.8,66.88,66.59,66.6,64578
1722262800,66.58,66.615,66.55,66.57,30211
1722263400,66.565,66.565,66.41,66.55,50458
1722264000,66.55,66.56,66.39,66.42,25173
1722264600,66.415,66.66,66.41,66.55,19738
1722265200,66.545,66.65,66.43,66.53,42601
1722265800,66.54,66.7,66.54,66.69,27659
1722266400,66.7,66.76,66.64,66.66,27642
1722267000,66.66,66.69,66.64,66.685,15337
1722267600,66.68,66.7,66.53,66.7,24498
1722268200,66.71,66.71,66.59,66.63,17388
1722268800,66.625,66.75,66.62,66.63,29268
1722269400,66.63,66.73,66.61,66.67,15301
1722270000,66.67,66.71,66.57,66.7,21712
1722270600,66.69,66.77,66.64,66.745,31958
1722271200,66.745,66.75,66.65,66.7,37019
1722271800,66.71,66.8,66.71,66.78,16960
1722272400,66.78,66.8,66.69,66.71,18163
1722273000,66.71,66.805,66.695,66.775,9686
1722273600,66.76,66.78,66.71,66.77,16646
1722274200,66.77,66.77,66.68,66.72,5090
1722274800,66.73,66.78,66.73,66.76,6887
1722275400,66.75,66.785,66.72,66.785,4607
1722276000,66.785,66.815,66.74,66.81,18214
1722276600,66.8,66.81,66.67,66.76,10546
1722277200,66.76,66.82,66.76,66.78,15268
1722277800,66.78,66.885,66.78,66.87,11765
1722278400,66.87,66.93,66.87,66.915,36617
1722279000,66.91,66.92,66.845,66.865,30018
1722279600,66.865,66.975,66.86,66.97,19075
1722280200,66.97,67.02,66.94,66.95,37088
1722280800,66.95,66.955,66.91,66.92,20565
1722281400,66.92,66.975,66.89,66.955,26266
1722282000,66.955,66.98,66.93,66.97,39653
1722282600,66.96,66.995,66.755,66.835,103781
1722346200,66.48,66.78,66.37,66.71,61493
1722346800,66.71,66.91,66.61,66.895,55587
1722347400,66.88,67.08,66.74,67.08,63153
1722348000,67.075,67.12,67,67.07,45355
1722348600,67.08,67.18,67.02,67.11,39533
1722349200,67.1,67.21,67.02,67.18,27668
