time,open,high,low,close,Volume
1710725400,89.5,91.85,89.4,90.3,3488500
1710726000,90.25,90.25,88.75,88.85,1888900
1710726600,88.85,89.55,88.3,89.55,1389900
1710727200,89.55,89.85,88.65,88.95,700400
1710727800,88.95,89.45,88.6,89.2,740000
1710728400,89.2,89.6,89.1,89.2,669800
1710729000,89.2,89.6,88.75,89.45,1184100
1710729600,89.4,90.7,89.4,90.55,850500
1710730200,90.5,90.85,89.9,90.05,983300
1710730800,90.1,90.25,89.7,90.1,417700
1710731400,90.1,90.45,89.85,90.4,414600
1710732000,90.45,90.5,89.8,89.8,442400
1710732600,89.85,90.3,89.85,90.2,304600
1710733200,90.2,90.2,89.95,90,259600
1710733800,90,90.1,89.6,89.9,603100
1710738000,89.95,91.25,89.9,91.2,1362500
1710738600,91.2,91.2,90.75,90.8,552900
1710739200,90.8,90.95,90.45,90.75,448800
1710739800,90.75,91.1,90.7,91.05,547300
1710740400,91.05,91.2,90.4,90.45,508300
1710741000,90.45,90.5,90.2,90.25,408300
1710741600,90.3,90.65,90.25,90.5,465400
1710742200,90.5,90.5,90.25,90.3,333200
1710742800,90.3,90.5,90.2,90.45,308900
1710743400,90.5,90.8,90.45,90.55,665400
1710744000,90.55,90.6,90.35,90.45,342900
1710744600,90.4,90.65,90.3,90.65,513800
1710745200,90.6,90.75,90.5,90.55,372100
1710745800,90.6,91,90.55,90.95,583800
1710746400,90.95,91.1,90.75,90.85,712900
1710747000,90.85,90.85,90.55,90.6,975400
1710747600,90.6,90.8,90.45,90.75,910500
1710748200,90.8,90.85,90.45,90.5,1144800
1710748800,90.4,90.4,90.4,90.4,1499600
1710811800,89.85,89.85,87.3,87.7,2897900
1710812400,87.7,88.8,87.7,88.55,1374700
1710813000,88.55,90.35,88.55,90.1,1948900
1710813600,90.1,90.2,89.55,89.6,658300
1710814200,89.6,90.3,89.6,89.75,590200
1710814800,89.75,89.9,89.55,89.8,328900
1710815400,89.8,89.8,89.25,89.45,504000
1710816000,89.45,89.55,88.85,89.25,737300
1710816600,89.25,89.8,89.2,89.75,354600
1710817200,89.75,90.1,89.55,89.6,363800
1710817800,89.7,89.9,89.3,89.3,255100
1710818400,89.3,89.5,89.05,89.25,326300
1710819000,89.3,89.3,89,89,179400
1710819600,89.05,89.15,88.6,88.7,303100
1710820200,88.7,89,88.55,88.95,237900
1710824400,88.95,88.95,88.55,88.6,468500
1710825000,88.65,88.85,88.55,88.7,324900
1710825600,88.75,89.6,88.65,89.4,665300
1710826200,89.4,89.65,89.25,89.25,360800
1710826800,89.25,89.4,89.15,89.25,334100
1710827400,89.25,89.45,89.25,89.35,240300
1710828000,89.4,89.4,88.9,89,456600
1710828600,89,89.5,88.9,89.4,452500
1710829200,89.35,89.4,89.25,89.3,265100
1710829800,89.3,89.3,89.05,89.25,305600
1710830400,89.25,89.25,89,89.05,383300
1710831000,89.05,89.3,88.9,89.25,493000
1710831600,89.25,89.45,89.05,89.05,449800
1710832200,89.05,89.25,88.9,89.15,684800
1710832800,89.2,89.3,89.1,89.15,297600
1710833400,89.15,89.45,89.15,89.4,349400
1710834000,89.35,89.45,89.15,89.35,697800
1710834600,89.4,89.5,89.1,89.1,981500
1710835200,89.2,89.2,89.2,89.2,1990300
1710898200,89.1,89.2,86.8,86.8,2868500
1710898800,86.8,88.5,86.6,88.5,1764700
1710899400,88.55,88.8,88.05,88.15,1046500
1710900000,88.2,88.8,88.15,88.75,537500
1710900600,88.75,88.9,88.6,88.65,588900
