time,open,high,low,close,Volume
1710725400,282.2,285,282.2,283.4,1437800
1710726000,283.2,284.4,283,284,601100
1710726600,283.8,286,283.8,285.8,599500
1710727200,286,286.6,285,285.8,951300
1710727800,286,286.2,284.8,285,414400
1710728400,284.6,286.6,284.4,286.2,627900
1710729000,286,287.8,285.4,287.4,1034000
1710729600,287.4,289.6,286.8,289,993300
1710730200,288.8,289.4,288.6,289.4,731600
1710730800,289.4,289.6,288.4,289.2,848100
1710731400,289,290.6,288.8,290.4,745200
1710732000,290.2,290.4,289.2,289.6,417300
1710732600,289.6,290.4,289.4,289.6,306600
1710733200,289.6,290,289.4,289.6,335000
1710733800,289.8,289.8,288.8,289.8,379800
1710738000,289.6,289.8,289,289.4,265100
1710738600,289.6,290,289.2,289.4,477000
1710739200,289.6,290,288.8,289.8,318100
1710739800,290,290.6,289.8,290.6,425400
1710740400,290.6,290.6,289.8,290.4,251100
1710741000,290.2,290.4,289.8,290,239700
1710741600,290.2,290.4,290,290,190800
1710742200,290.2,290.2,289.6,289.8,153100
1710742800,289.8,290.2,289.6,290,176000
1710743400,290,290.6,289.8,290.2,268600
1710744000,290.2,290.4,290,290.4,215200
1710744600,290.2,291,290.2,290.8,428300
1710745200,290.8,291.4,290.6,290.8,331800
1710745800,290.8,291,290.6,290.6,441000
1710746400,290.8,290.8,290,290,265900
1710747000,290.2,290.8,290,290.6,450000
1710747600,290.6,290.8,289.8,290,559200
1710748200,290,290.2,289.6,289.8,684800
1710748800,289.8,289.8,289.8,289.8,972900
1710811800,289,289.6,287,289.4,1484900
1710812400,289.2,289.8,288.6,289.4,820800
1710813000,289.4,291.2,289.2,290.6,847800
1710813600,290.4,290.6,288.8,288.8,854900
1710814200,288.8,290,288.8,289.2,547500
1710814800,289.2,289.4,288.4,288.8,361900
1710815400,288.8,289.6,288.6,289.2,319300
1710816000,289,289.2,288.4,288.8,390400
1710816600,288.8,289.4,288.4,289.2,245500
1710817200,289.2,289.2,288.4,288.6,265100
1710817800,288.4,289.2,288.2,288.4,323300
1710818400,288.4,288.6,287.6,288,455800
1710819000,288.2,288.2,287.4,287.4,153100
1710819600,287.6,287.8,286.2,286.4,410600
1710820200,286.2,286.4,285.4,286.2,433700
1710824400,286.2,286.4,285.4,285.6,362700
1710825000,285.8,286.4,285.6,286,327700
1710825600,286,286.8,285.8,286.6,288700
1710826200,286.4,287,286.2,286.8,319800
1710826800,286.8,287.6,286.8,287.2,307900
1710827400,287.4,287.6,287.2,287.4,126600
1710828000,287.2,287.4,285.8,285.8,298700
1710828600,286,286.8,285.6,286.6,353400
1710829200,286.4,286.6,286.2,286.4,174600
1710829800,286.2,286.4,285.8,285.8,287800
1710830400,285.8,286.2,285.6,286,218700
1710831000,286,286.2,285.6,285.8,173500
1710831600,285.8,286.2,285.4,285.6,232700
1710832200,285.8,285.8,285,285.2,347300
1710832800,285.2,285.8,285,285.8,259900
1710833400,285.8,286,285.4,285.4,135400
1710834000,285.6,285.6,285,285.4,411800
1710834600,285.6,285.6,285.2,285.4,418800
1710835200,285,285,285,285,1201600
1710898200,285.4,285.8,283,284.2,1112900
1710898800,284,288,284,288,786200
1710899400,288,290.2,287.8,287.8,1155100
1710900000,287.8,288.4,286.8,288.2,455400
1710900600,288.4,289.2,287,287,276200
1710901200,287,287.8,286.2,287.2,325500
1710901800,287.2,287.6,286.4,287.2,200800
1710902400,287.4,289.2,287.2,288.4,497400
1710903000,288.2,288.6,287.8,288.2,255700
1710903600,288.2,288.2,288,288,114700
1710904200,288.2,289.6,288,289.2,402700
1710904800,289.2,289.2,288.8,289.2,227100
1710905400,289.2,290,288.8,289.2,333800
1710906000,289,289.2,288,288.2,235700
1710906600,288.2,288.2,287.2,287.6,206700
1710910800,287.6,287.8,286.6,287.6,476000
1710911400,287.6,288.4,287.4,288.4,445300
1710912000,288.4,288.4,287.8,287.8,177200
1710912600,288,288,287.4,288,199700
1710913200,287.8,288.4,287.8,288,238400
1710913800,288,288.6,287.8,288.6,210500
1710914400,288.6,289.4,288.4,289.4,230600
1710915000,289.4,289.6,289,289.6,335200
1710915600,289.6,289.6,289,289.2,214700
1710916200,289.2,289.6,289,289.4,316500
1710916800,289.2,290,289.2,290,633300
1710917400,290,290,289.2,289.8,241500
1710918000,289.8,290,289.6,290,253000
1710918600,290,290.2,289.8,289.8,481700
1710919200,290,290,289.4,289.6,289800
1710919800,289.4,289.6,288.6,288.8,327200
1710920400,288.8,289,288.6,288.8,358200
1710921000,288.8,289,287.6,288.4,909900
1710921600,288.8,288.8,288.8,288.8,1079900
1710984600,295.4,298.2,294.6,294.6,5426800
1710985200,294.4,295.8,292.2,295.8,2427500
1710985800,295.8,296.8,294.6,296.4,2441600
1710986400,296.4,297.6,295,295.4,1851500
1710987000,295.6,295.8,294.8,295.2,1186200
1710987600,295.4,295.6,294,295.2,1469200
1710988200,294.8,295.2,294,294.2,1030300
1710988800,294.2,294.4,292.4,292.8,1133400
1710989400,292.8,293.4,292,292.4,794000
1710990000,292.4,293.2,291.8,292.6,740500
1710990600,292.8,293,292,292.2,518100
1710991200,292,293.4,292,293,357500
1710991800,292.8,293.2,292.8,292.8,190800
1710992400,292.8,292.8,291.6,292,338200
1710993000,292,292.4,291.6,291.8,333300
1710997200,291.8,292.4,291.4,292,734100
1710997800,292,292.6,291.8,292.6,326500
1710998400,292.6,293.4,292.2,293.4,711500
1710999000,293.4,294.4,293,294.2,583100
1710999600,294.2,294.2,293.8,294,391300
1711000200,294,294.2,293.6,293.8,464500
1711000800,293.8,294.6,293.4,293.8,538700
1711001400,293.8,294,292.6,292.6,482500
1711002000,292.6,293.6,292.6,293.6,305900
1711002600,293.4,294.2,293.4,294,449400
1711003200,294,294.2,293.6,293.6,304300
1711003800,293.8,294,293.2,293.4,309700
1711004400,293.4,293.4,292,292.4,617600
1711005000,292.4,292.4,291,291,1206700
1711005600,291.2,291.2,290.4,291.2,520500
1711006200,291.2,292,291,291.6,368200
1711006800,291.8,291.8,290.4,290.6,746400
1711007400,290.6,290.8,289.6,290,1189300
1711008000,291.2,291.2,291.2,291.2,1734600
1711071000,287.4,289.2,286.8,287.4,1719600
1711071600,287.4,288,286.2,287.2,889000
1711072200,287.2,288,286.8,286.8,769500
1711072800,286.8,287.4,286.6,287,547300
