time,open,high,low,close,Volume
1715563200,18904.58,18904.58,18904.58,18904.58,
1715563800,18862.01,18916.81,18842.62,18888.8,
1715564400,18885.59,18893.35,18844.1,18858.79,
1715565000,18858.13,18895.46,18827.6,18890.16,
1715565600,18890.22,18898.46,18835.18,18879.3,
1715566200,18881.46,18981.35,18881.29,18980.19,
1715566800,18979.08,18996.16,18953.83,18955.76,
1715567400,18954.88,19044.18,18951.51,19035.63,
1715568000,19038.37,19097.84,19032.55,19084.67,
1715568600,19082.91,19086.44,19033.32,19035.4,
1715569200,19035.25,19047.81,18997.76,19031.08,
1715569800,19032.13,19042.13,19013.97,19032.68,
1715570400,19030.55,19087.9,19028.05,19083.45,
1715571000,19083.97,19089.58,19039.22,19047.51,
1715571600,19046.63,19046.72,19031.07,19039.96,
1715572200,19041.71,19054.07,19035.25,19051.67,
1715572800,19052.14,19052.14,19052.14,19052.14,
1715576400,19050.03,19109.45,19050.03,19058.69,
1715577000,19060.24,19065.93,19038.58,19052.02,
1715577600,19048.03,19121.51,19045.96,19117.58,
1715578200,19116.59,19121.51,19075.06,19080.12,
1715578800,19077.87,19091.09,19064.57,19083.9,
1715579400,19081.94,19101.65,19078.65,19097.11,
1715580000,19097.27,19099.06,19060.66,19063.44,
1715580600,19063.76,19068.62,19037.5,19045.54,
1715581200,19046.04,19054.28,19036.81,19054.28,
1715581800,19053.3,19078.26,19039.42,19076.33,
1715582400,19075.56,19095.89,19072.86,19084.83,
1715583000,19084.31,19093.02,19075.54,19084.12,
1715583600,19084.2,19096.41,19066.58,19074.67,
1715584200,19073.51,19103.18,19070.82,19102.79,
1715584800,19102.42,19122.68,19102.42,19110.62,
1715585400,19110.6,19123.48,19099.27,19107.66,
1715586000,19105.44,19112.72,19097.98,19101.87,
1715586600,19103.35,19113.07,19095.53,19113.07,
1715587200,19108.78,19115.06,19108.78,19115.06,
1715649600,19203.82,19203.82,19203.82,19203.82,
1715650200,19234.06,19301.13,19198.32,19204.64,
1715650800,19203.4,19220.51,19170.22,19178.09,
1715651400,19179.61,19197.16,19145.53,19153.87,
1715652000,19158.17,19163.6,19111.23,19119.66,
1715652600,19120.37,19178.06,19104.67,19166.89,
1715653200,19164.99,19181.49,19153.88,19171.05,
1715653800,19171.99,19171.99,19099.25,19124.44,
1715654400,19121.88,19130.61,19079.6,19080.97,
1715655000,19080.01,19135.43,19078.94,19117.29,
1715655600,19118.49,19145.97,19102.96,19138.39,
1715656200,19137.2,19143.95,19125.22,19125.22,
1715656800,19126.56,19139.87,19101.67,19108.79,
1715657400,19110.1,19111.99,19092.49,19101.27,
1715658000,19101.46,19109.7,19091.42,19091.42,
1715658600,19092.9,19096.16,19084.17,19089.78,
1715659200,19089.83,19089.83,19089.83,19089.83,
1715662800,19088.23,19107.72,19072.64,19107.72,
1715663400,19108.67,19116.03,19089.96,19113.45,
1715664000,19113.39,19129.61,19110.59,19111.16,
1715664600,19108.73,19117.34,19096.89,19097.96,
1715665200,19097.65,19098.99,19083.74,19085.44,
1715665800,19086.92,19111.33,19085.53,19104.78,
1715666400,19105.14,19114.65,19093.34,19112.93,
1715667000,19113.83,19127.76,19105.17,19119.19,
1715667600,19121.2,19128.79,19107.65,19111.12,
1715668200,19110.15,19112.01,19094.81,19104.41,
1715668800,19105.44,19123.81,19105.36,19118.85,
1715669400,19120.22,19128.94,19108.52,19110.83,
1715670000,19110.52,19119.31,19097.55,19108.1,
1715670600,19107.34,19113,19096,19108.07,
1715671200,19106.42,19109.33,19095.42,19105.74,
