time,open,high,low,close,Volume
1724074200,5558.83,5565.92,5556.62,5560.83,127712458
1724074800,5560.93,5566.85,5560.86,5565.1,61502640
1724075400,5565.17,5566,5559.12,5561.17,54603967
1724076000,5561.57,5568.04,5557.56,5566.41,56287695
1724076600,5566.48,5568.4,5550.74,5551.77,55367390
1724077200,5551.75,5566.42,5551.69,5565.56,45870280
1724077800,5565.63,5568.68,5564.56,5566.95,45026700
1724078400,5567.07,5571.64,5565.33,5570.37,39791250
1724079000,5570.48,5577.9,5570.38,5576.74,40920690
1724079600,5577.01,5579.32,5576.17,5579.01,36816890
1724080200,5579.05,5579.3,5573.72,5575.52,36465370
1724080800,5575.55,5578.43,5574.16,5576.54,35118760
1724081400,5576.53,5580.06,5575.77,5577.02,33500250
1724082000,5577.05,5579.14,5576.61,5577.78,33308510
1724082600,5577.86,5581.44,5570.65,5573.53,39583190
1724083200,5573.62,5576.21,5571.36,5575.2,33139450
1724083800,5575.25,5578.12,5575.11,5578.03,26586170
1724084400,5577.97,5580.1,5577.21,5579.94,25213250
1724085000,5579.93,5580.37,5576.89,5580.16,28578440
1724085600,5580.23,5581.93,5580.1,5581.72,24802470
1724086200,5581.76,5586.21,5581.76,5585.11,28267780
1724086800,5585.22,5586.17,5584.09,5585.81,25670560
1724087400,5585.88,5586.07,5581.78,5583.93,25438290
1724088000,5583.98,5584.89,5582.91,5583.22,28134090
1724088600,5583.27,5584.15,5581.32,5583.83,29468770
1724089200,5583.88,5585.56,5583.58,5585.22,24878320
1724089800,5585.2,5587.52,5584.43,5587.38,26651570
1724090400,5587.35,5589.12,5587.04,5587.72,32585170
1724091000,5587.72,5587.72,5586.37,5587.34,28612010
1724091600,5587.35,5589.28,5585.59,5588.91,30978730
1724092200,5589.03,5590.04,5588.73,5589.85,31692960
1724092800,5589.77,5596.39,5589.77,5595.74,38904530
1724093400,5595.73,5595.81,5592.45,5593.39,37954460
1724094000,5593.33,5593.33,5589.59,5592.07,35373680
1724094600,5592.11,5593.21,5590.94,5593.21,33994880
1724095200,5593.16,5594.73,5592.12,5594.09,37337670
1724095800,5594.12,5594.72,5591.64,5592.6,45477920
1724096400,5592.56,5594.62,5592.21,5592.68,59289650
1724097000,5594.4,5607.85,5593.19,5607.7,209253190
1724097600,5608.3,5608.3,5608.22,5608.24,332478950
1724160600,5602.3,5610.4,5602.3,5609.41,138959202
1724161200,5608.97,5614.65,5608.68,5613.7,69989581
1724161800,5613.67,5620.51,5613.28,5619.34,61328737
1724162400,5619.51,5620.34,5613.88,5615.33,61777170
1724163000,5615.43,5615.43,5600.5,5601.6,67029000
1724163600,5601.48,5603.71,5599.09,5602.51,55855070
1724164200,5602.5,5603.81,5593.09,5593.18,56517140
1724164800,5593.12,5600.23,5591.12,5599.39,53151860
1724165400,5599.31,5601.15,5594.21,5595.63,46530350
1724166000,5595.66,5597.14,5593.95,5595.87,39835110
1724166600,5595.79,5596.46,5593.51,5595.77,41530380
1724167200,5595.52,5597.88,5590.73,5591.28,40832560
1724167800,5591.24,5597.9,5590.64,5596.19,36692790
1724168400,5596.15,5597.45,5590.53,5591.78,33509840
1724169000,5591.98,5604.62,5591.68,5604.56,32213580
1724169600,5604.56,5605.9,5601.61,5603.57,31945630
1724170200,5603.67,5604.54,5595.86,5595.87,31179390
1724170800,5595.81,5598.02,5594.41,5597.52,27250050
1724171400,5597.5,5598.95,5594.47,5597.64,25716890
1724172000,5597.62,5598.14,5595.55,5598.14,27207520
1724172600,5598.2,5598.73,5591.91,5591.93,27250900
1724173200,5591.96,5593.25,5585.5,5593.25,31513690
1724173800,5593.24,5593.74,5590.11,5592.19,23286330
1724174400,5592.27,5594.25,5589.95,5593.26,24169210
1724175000,5593.32,5593.5,5589,5591.64,25026850
1724175600,5591.6,5596.05,5591.45,5595.65,24366430
1724176200,5595.7,5596.03,5593.93,5594.57,24684350
1724176800,5594.62,5599.84,5593.46,5599.28,27728510
1724177400,5599.25,5605.75,5598.58,5605.63,28938320
1724178000,5605.62,5608.56,5604.68,5605.24,32124400
1724178600,5605.34,5606.34,5604.32,5605.67,27779670
1724179200,5605.66,5606.68,5602.64,5604.24,28153120
1724179800,5604.24,5605.11,5600.29,5602.82,29310620
1724180400,5602.83,5603.62,5601.37,5601.66,29888200
1724181000,5601.65,5602.31,5598.8,5600.42,33729320
1724181600,5600.51,5601.59,5598.38,5598.47,36811900
1724182200,5598.42,5600.37,5597.77,5597.9,46774470
1724182800,5598.04,5600.37,5596.32,5600.12,60215850
1724183400,5603.27,5603.52,5595.96,5596.4,187375360
1724184000,5597.29,5597.29,5597.08,5597.11,305550800
1724247000,5605.67,5612.24,5605.67,5611.9,118254460
1724247600,5611.84,5614.38,5608.13,5611.52,61842161
1724248200,5611.51,5616.73,5610.16,5615.29,55225281
1724248800,5615.53,5619.38,5613.49,5615.04,58954738
1724249400,5614.93,5616.59,5602.76,5613.37,56009280
1724250000,5613.31,5615.89,5611.29,5613.23,40903980
1724250600,5613.29,5625.61,5607.9,5623.89,50229220
1724251200,5624.07,5632.68,5618.17,5618.21,48606810
1724251800,5618.06,5618.49,5597.33,5604.4,54603300
1724252400,5604.07,5608.73,5597.78,5607.05,35235990
1724253000,5607.38,5614.29,5607.06,5611.74,33784950
1724253600,5611.78,5613.38,5610,5611.11,29271120
1724254200,5611.2,5612.95,5607.93,5610.45,30241480
1724254800,5610.56,5612.29,5603.67,5603.67,30130980
1724255400,5603.7,5604.41,5598.3,5600.26,28958580
1724256000,5600.32,5600.33,5591.57,5596.86,34821570
1724256600,5597.01,5602.04,5596.77,5602.04,26975710
1724257200,5601.97,5606.21,5601.86,5605.45,26374080
1724257800,5605.52,5609.11,5604.94,5608.73,24072270
1724258400,5608.74,5610.86,5607.65,5610.13,21841540
1724259000,5610.19,5613.92,5608.79,5613,24216900
1724259600,5612.96,5614.72,5611.66,5611.88,21608950
1724260200,5611.94,5613.38,5610.95,5611.85,23399710
1724260800,5611.95,5612.72,5610.99,5611.34,21582300
1724261400,5611.43,5613.72,5611.06,5613.23,24750830
1724262000,5613.27,5615.34,5610.34,5614.99,24215570
1724262600,5615.03,5616.43,5614.76,5615.63,25791700
1724263200,5615.58,5622.4,5614.07,5616.16,34739170
1724263800,5616.19,5619.03,5615.35,5618.63,26028830
1724264400,5618.65,5623.78,5617.54,5623.67,30714710
1724265000,5623.8,5628.12,5616.35,5618.75,41490910
1724265600,5618.71,5619.29,5615.65,5618.29,30272670
1724266200,5618.32,5621.44,5617.69,5618.84,31237180
1724266800,5618.86,5619.94,5609.63,5611.38,36449320
1724267400,5611.31,5614.23,5609.91,5610.55,34107970
1724268000,5610.55,5613.05,5604.6,5612.39,39124770
1724268600,5612.42,5612.42,5609.34,5612.14,47919590
1724269200,5612.25,5614.27,5609.16,5613.94,60626930
1724269800,5616.31,5621.49,5613.74,5620.87,192564030
1724270400,5619.67,5620.84,5619.67,5620.84,338747480
1724333400,5638.11,5643.22,5636.52,5638.65,127322570
1724334000,5638.44,5641.98,5631.24,5632.51,60840001
1724334600,5632.48,5639.23,5627.56,5633.52,55828797
1724335200,5634.39,5635.93,5621.5,5621.77,60919582
1724335800,5621.77,5622.48,5617.18,5619.29,46966680
1724336400,5619.33,5625.28,5617.48,5622.13,42955600
1724337000,5622.05,5622.1,5614.24,5621.09,41135640
1724337600,5621.12,5622.17,5613.49,5614.35,38467050
1724338200,5614.47,5620.1,5613.74,5616.34,38484360
1724338800,5616.22,5623.25,5615.24,5615.76,34571760
1724339400,5615.73,5616.75,5607.55,5607.55,33983850
1724340000,5607.07,5607.29,5601.55,5602.23,42024280
1724340600,5602.46,5603.73,5595.82,5595.86,45869070
1724341200,5595.9,5598.48,5583.07,5583.19,54413150
1724341800,5583.22,5592.83,5581.88,5589.22,37428030
1724342400,5589.23,5596.68,5588.32,5596.36,33677120
1724343000,5596.49,5597.51,5593.66,5597.28,28596700
1724343600,5597.29,5609.69,5597.29,5608.15,34339380
1724344200,5608.12,5611.37,5607.63,5608.61,30030360
1724344800,5608.56,5611.13,5602.61,5602.97,27844160
1724345400,5603.03,5603.48,5584.34,5586.9,34025240
1724346000,5586.86,5587.3,5580.92,5586.44,27544810
1724346600,5586.44,5594.29,5585.3,5590.25,29663090
1724347200,5590.24,5591.18,5586.35,5586.36,26116560
1724347800,5586.34,5586.87,5572.32,5580.3,35842260
1724348400,5580.22,5580.5,5570.94,5570.94,31655570
1724349000,5570.87,5574.23,5563.54,5565.69,36069040
1724349600,5565.39,5571.54,5563.75,5571.42,33970540
1724350200,5571.55,5580.91,5569.2,5580.84,33623420
1724350800,5580.72,5581.32,5575.95,5581.19,28328550
1724351400,5581.23,5581.23,5577.64,5578.54,26807420
1724352000,5578.51,5583.42,5577.59,5578.63,29159180
1724352600,5578.62,5578.96,5570.59,5571.15,30585200
1724353200,5571.08,5581.94,5571.08,5577.7,35794050
1724353800,5577.86,5580.47,5574.37,5575.73,36051120
1724354400,5575.73,5575.83,5566.67,5568.4,45490400
1724355000,5568.36,5572.5,5565.56,5568.69,56982000
1724355600,5568.64,5573.88,5565.34,5572.92,72200260
1724356200,5573.17,5575.18,5560.95,5573.35,223155300
1724356800,5572.2,5572.2,5570.65,5570.65,336853630
1724419800,5605.74,5608.05,5599.95,5607.43,100591979
1724420400,5607.68,5609.29,5603.25,5607.82,50557232
1724421000,5607.69,5608.62,5602.57,5608.62,43368478
1724421600,5610.04,5632.25,5610.04,5631.91,81202211
1724422200,5631.72,5641.46,5619.35,5623.57,72696170
1724422800,5623.46,5641.82,5620.85,5638.43,58325700
1724423400,5638.5,5639.7,5624.12,5625.61,54577610
