time,open,high,low,close,Volume
1579478400,1163,1168,1124,1129,42600
1579479000,1127,1140,1125,1127,15200
1579479600,1131,1131,1092,1097,33100
1579480200,1092,1104,1059,1066,45300
1579480800,1066,1075,1053,1074,25200
1579481400,1071,1078,1069,1074,3900
1579482000,1075,1080,1066,1066,6200
1579482600,1067,1067,1023,1044,52300
1579483200,1050,1062,1050,1062,3900
1579483800,1063,1069,1052,1052,4100
1579484400,1055,1059,1048,1048,2900
1579485000,1048,1048,1033,1048,4900
1579485600,1049,1063,1049,1051,2300
1579486200,1058,1070,1055,1065,4300
1579486800,1069,1079,1056,1073,7700
1579487400,1066,1066,1066,1066,200
1579491000,1069,1070,1051,1052,9200
1579491600,1058,1058,1048,1051,3100
1579492200,1050,1056,1041,1056,5000
1579492800,1056,1056,1038,1053,5900
1579493400,1042,1046,1040,1041,3200
1579494000,1041,1041,1031,1036,5900
1579494600,1036,1040,1033,1040,1700
1579495200,1039,1042,1039,1042,1000
1579495800,1039,1045,1039,1040,700
1579496400,1039,1040,1037,1038,2300
1579497000,1038,1040,1030,1030,9800
1579497600,1030,1043,1030,1039,4900
1579498200,1040,1042,1040,1040,2100
1579498800,1041,1057,1040,1046,7200
1579499400,1046,1048,1038,1041,12600
1579500000,1037,1037,1037,1037,11600
1579564800,1051,1088,1050,1060,39800
1579565400,1061,1085,1061,1081,12100
1579566000,1080,1083,1066,1070,6300
1579566600,1070,1074,1067,1072,6100
1579567200,1073,1078,1072,1073,1900
1579567800,1074,1080,1072,1080,1600
1579568400,1081,1081,1074,1075,1500
1579569000,1075,1075,1050,1054,10900
1579569600,1057,1068,1057,1068,1600
1579570200,1065,1065,1040,1044,4300
1579570800,1047,1054,1047,1054,1300
1579571400,1053,1053,1047,1052,1300
1579572000,1058,1058,1053,1054,1600
1579572600,1054,1065,1054,1064,2000
1579573200,1060,1063,1060,1063,1300
1579577400,1064,1077,1064,1071,6100
1579578000,1075,1085,1075,1085,4700
1579578600,1081,1081,1075,1075,1800
1579579200,1075,1083,1075,1080,7800
1579579800,1080,1082,1080,1082,400
1579580400,1080,1087,1080,1087,3200
1579581000,1088,1091,1082,1082,5500
1579581600,1081,1081,1080,1081,1400
1579582200,1084,1085,1080,1085,2900
1579582800,1086,1086,1084,1084,1100
1579583400,1083,1083,1080,1080,1800
1579584000,1081,1081,1077,1077,4600
1579584600,1075,1075,1072,1073,2500
