window,start,end,n_bars,timesteps,cumulative_return,sharpe,max_drawdown,final_equity,news_coverage
1,2026-02-24,2026-03-30,1883,18530,-0.015731611818854296,0.0,0.02264104927111655,984268.3881811457,1.0
2,2026-02-25,2026-03-31,1924,18940,0.002872819880447963,0.0,0.029914254223590377,1002872.8198804479,1.0
3,2026-02-26,2026-04-01,1956,19260,0.03320716584669392,0.0,0.030499182077807097,1033207.1658466939,1.0
4,2026-02-27,2026-04-02,1956,19260,0.026753628302744525,0.0,0.02602689719960455,1026753.6283027445,1.0
5,2026-02-28,2026-04-03,1904,18740,0.04265158066728958,0.0,0.024121393411416565,1042651.5806672896,1.0
6,2026-03-02,2026-04-06,1887,18570,-0.0005613586958750361,0.0,0.037793621813061645,999438.641304125,1.0
7,2026-03-03,2026-04-07,1882,18520,0.019003337421519273,0.0,0.033545609402645275,1019003.3374215192,1.0
8,2026-03-04,2026-04-08,1882,18520,0.029285512487879695,0.0,0.03231500553564326,1029285.5124878797,1.0
9,2026-03-05,2026-04-09,1882,18520,0.030281943488591034,0.0,0.04100566538926332,1030281.943488591,1.0
10,2026-03-06,2026-04-10,1882,18520,0.09107087276603298,0.0,0.0362617817680725,1091070.872766033,1.0
11,2026-03-07,2026-04-11,1830,18000,0.08204890071145687,0.0,0.049177878988931494,1082048.9007114568,1.0
12,2026-03-09,2026-04-13,1850,18200,0.08909740816729239,0.0,0.048096372539442545,1089097.4081672924,1.0
13,2026-03-10,2026-04-14,1876,18460,0.08962836537134122,0.0,0.04789366462712945,1089628.3653713411,1.0
14,2026-03-11,2026-04-15,1876,18460,0.0628034839677829,0.0,0.053088217668866296,1062803.483967783,1.0
15,2026-03-12,2026-04-16,1876,18460,0.06743691490635761,0.0,0.06022457365058205,1067436.9149063576,1.0
16,2026-03-13,2026-04-17,1876,18460,0.06640095494293541,0.0,0.06239149426261604,1066400.9549429354,1.0
17,2026-03-14,2026-04-18,1824,17940,0.01514667320204155,0.0,0.06641813250312441,1015146.6732020415,1.0
18,2026-03-16,2026-04-20,1850,18200,0.10344412796636449,0.0,0.04082111029956977,1103444.1279663644,1.0
19,2026-03-17,2026-04-21,1876,18460,0.12243407015277574,0.0,0.04018326833752408,1122434.0701527759,1.0
20,2026-03-18,2026-04-22,1876,18460,0.13299767642950777,0.0,0.07401351700406403,1132997.6764295078,1.0
21,2026-03-19,2026-04-23,1876,18460,0.061062110049565854,0.0,0.07455751796923236,1061062.1100495658,1.0
22,2026-03-20,2026-04-24,1876,18460,0.06375128073991743,0.0,0.0468592633838216,1063751.2807399174,1.0
23,2026-03-21,2026-04-25,1824,17940,0.17180815177258557,0.0,0.05036083767979643,1171808.1517725855,1.0
24,2026-03-23,2026-04-27,1850,18200,0.06621779557751051,0.0,0.06373774573371646,1066217.7955775105,1.0
25,2026-03-24,2026-04-28,1876,18460,0.19020753035864368,0.0,0.08406648959679087,1190207.5303586437,1.0
26,2026-03-25,2026-04-29,1876,18460,0.05563536262299151,0.0,0.06714910097511011,1055635.3626229914,1.0
27,2026-03-26,2026-04-30,1876,18460,0.12537166767748786,0.0,0.08003763677786516,1125371.667677488,1.0
28,2026-03-27,2026-05-01,1839,18090,0.09537800087990278,0.0,0.0680950207244405,1095378.0008799029,1.0
29,2026-03-28,2026-05-02,1787,17570,0.021755173773374548,0.0,0.07784814510458765,1021755.1737733745,1.0
30,2026-03-30,2026-05-04,1813,17830,0.018372159249678388,0.0,0.10243520175781132,1018372.1592496784,1.0
31,2026-03-31,2026-05-05,1839,18090,-0.04655241295421686,0.0,0.15696610167575756,953447.5870457832,1.0
32,2026-04-01,2026-05-06,1839,18090,-0.1198413801999858,0.0,0.19931732544501402,880158.6198000142,1.0
